# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.2Msun TAMS
l n_pg freq_uHz
0 2 240.721924
0 3 319.050441
0 4 392.337674
0 5 467.198441
0 6 542.600510
0 7 618.682709
0 8 696.269687
0 9 773.456888
0 10 849.867777
0 11 923.300853
0 12 996.246979
0 13 1070.377627
0 14 1146.512029
0 15 1222.351370
0 16 1297.465673
0 17 1371.896480
0 18 1447.309885
0 19 1523.641452
0 20 1600.771186
0 21 1677.851394
0 22 1754.811673
0 23 1831.534200
0 24 1908.280017
0 25 1985.214313
0 26 2062.342333
0 27 2139.610629
0 28 2216.688671
0 29 2293.511286
0 30 2369.360434
0 31 2444.768686
0 32 2522.388655
0 33 2600.052343
0 34 2677.592088
0 35 2755.154119
0 36 2832.645294
0 37 2910.148712
0 38 2987.592263
0 39 3064.963894
0 40 3142.248915
0 41 3219.414151
0 42 3296.535273
0 43 3373.555609
0 44 3450.554129
0 45 3527.432876
0 46 3604.275669
0 47 3681.012706
0 48 3757.742236
0 49 3834.433142
0 50 3911.156751
0 51 3987.894481
0 52 4064.673919
0 53 4141.509683
0 54 4218.412325
0 55 4295.431462
0 56 4372.546857
0 57 4449.810654
0 58 4527.173460
0 59 4604.686831
0 60 4682.294824
0 61 4760.043048
0 62 4837.884233
0 63 4915.848249
0 64 4993.904187
0 65 5072.057772
0 66 5150.299055
0 67 5228.610905
0 68 5307.005571
0 69 5385.448768
0 70 5463.967546
1 -1 239.508991
1 1 257.762239
1 2 336.053235
1 3 412.468629
1 4 470.698066
1 5 505.691616
1 6 576.275474
1 7 653.252837
1 8 730.665927
1 9 807.785306
1 10 882.746391
1 11 955.517715
1 12 1028.670912
1 13 1103.723466
1 14 1179.867488
1 15 1255.335942
1 16 1330.016474
1 17 1404.702878
1 18 1480.602485
1 19 1557.335703
1 20 1634.620936
1 21 1711.667443
1 22 1788.659055
1 23 1865.402484
1 24 1942.399102
1 25 2019.513559
1 26 2096.937700
1 27 2174.291964
1 28 2251.516295
1 29 2328.241715
1 30 2402.695611
1 31 2480.640138
1 32 2558.584034
1 33 2636.525715
1 34 2714.405533
1 35 2792.323901
1 36 2870.188398
1 37 2948.102683
1 38 3025.916285
1 39 3103.713267
1 40 3181.368540
1 41 3258.989039
1 42 3336.511777
1 43 3414.000938
1 44 3491.401089
1 45 3568.720924
1 46 3645.958879
1 47 3723.115818
1 48 3800.248684
1 49 3877.338437
1 50 3954.453027
1 51 4031.540338
1 52 4108.675259
1 53 4185.811007
1 54 4263.032670
1 55 4340.300281
1 56 4417.674018
1 57 4495.114724
1 58 4572.650414
1 59 4650.258863
1 60 4727.940988
1 61 4805.700051
1 62 4883.513583
1 63 4961.404715
1 64 5039.330809
1 65 5117.326136
1 66 5195.341769
1 67 5273.414033
1 68 5351.499894
1 69 5429.626007
2 -4 204.614357
2 -3 221.457201
2 -2 243.349373
2 -1 279.824340
2 0 312.492432
2 1 374.535205
2 2 399.749773
2 3 456.192191
2 4 533.379243
2 5 610.573854
2 6 689.032819
2 7 766.680590
2 8 836.073124
2 9 844.446035
2 10 917.473529
2 11 990.416546
2 12 1064.411034
2 13 1140.482487
2 14 1216.409913
2 15 1291.625692
2 16 1366.110391
2 17 1441.495098
2 18 1517.862471
2 19 1595.066044
2 20 1672.310964
2 21 1749.430066
2 22 1826.352426
2 23 1903.271234
2 24 1980.416660
2 25 2057.755471
2 26 2135.283506
2 27 2212.635116
2 28 2289.767995
2 29 2365.990970
2 30 2441.583050
2 31 2519.545054
2 32 2597.568028
2 33 2675.484710
2 34 2753.435117
2 35 2831.331378
2 36 2909.249602
2 37 2987.120847
2 38 3064.926870
2 39 3142.651886
2 40 3220.260078
2 41 3297.823630
2 42 3375.284862
2 43 3452.717287
2 44 3530.020826
2 45 3607.276430
2 46 3684.410345
2 47 3761.522578
2 48 3838.573843
2 49 3915.640887
2 50 3992.692952
2 51 4069.767324
2 52 4146.865602
2 53 4224.010013
2 54 4301.237345
2 55 4378.537044
2 56 4455.951387
2 57 4533.437193
2 58 4611.041965
2 59 4688.711353
2 60 4766.493492
2 61 4844.337495
2 62 4922.280775
2 63 5000.284825
2 64 5078.366173
2 65 5156.506107
2 66 5234.698411
2 67 5312.947756
2 68 5391.228409
2 69 5469.563384
3 -6 204.064675
3 -5 228.332914
3 -4 246.231724
3 -3 280.462748
3 -2 304.251697
3 -1 323.105518
3 0 353.423368
3 1 402.104895
3 2 468.157783
3 3 482.500416
3 4 560.471009
3 5 639.157508
3 6 717.943380
3 7 795.949562
3 8 872.049722
3 9 945.388010
3 10 1018.644990
3 11 1026.257414
3 12 1093.974665
3 13 1170.476169
3 14 1246.321407
3 15 1321.382581
3 16 1396.213815
3 17 1472.265030
3 18 1549.159239
3 19 1626.701398
3 20 1704.018604
3 21 1781.287853
3 22 1858.293856
3 23 1935.527470
3 24 2012.890620
3 25 2090.558106
3 26 2168.194347
3 27 2245.691814
3 28 2322.735062
3 29 2397.315371
3 30 2475.525905
3 31 2553.717149
3 32 2631.916954
3 33 2710.037626
3 34 2788.199349
3 35 2866.295947
3 36 2944.441061
3 37 3022.480102
3 38 3100.496174
3 39 3178.366196
3 40 3256.190584
3 41 3333.914302
3 42 3411.594050
3 43 3489.183249
3 44 3566.682251
3 45 3644.096959
3 46 3721.421857
3 47 3798.719877
3 48 3875.968492
3 49 3953.239651
3 50 4030.479749
3 51 4107.765408
3 52 4185.049936
3 53 4262.419099
3 54 4339.834240
3 55 4417.355669
3 56 4494.945599
3 57 4572.632059
3 58 4650.393841
3 59 4728.232309
3 60 4806.151169
3 61 4884.128735
3 62 4962.188011
3 63 5040.287066
3 64 5118.459886
3 65 5196.657560
3 66 5274.916511
3 67 5353.192475
3 68 5431.512928
