# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2500 200-5500uHz ; MODE-A 1.2Msun Xc0.20
l n_pg freq_uHz
0 2 270.180748
0 3 355.871693
0 4 437.065793
0 5 521.203380
0 6 607.336568
0 7 693.481203
0 8 781.471678
0 9 868.983967
0 10 956.207383
0 11 1040.481270
0 12 1122.975191
0 13 1205.715952
0 14 1290.597051
0 15 1376.228835
0 16 1461.260897
0 17 1545.289607
0 18 1629.335858
0 19 1714.490542
0 20 1800.571205
0 21 1887.247958
0 22 1973.721157
0 23 2060.128015
0 24 2146.227911
0 25 2232.541812
0 26 2318.945200
0 27 2405.678602
0 28 2492.415826
0 29 2579.074186
0 30 2665.431678
0 31 2751.138574
0 32 2835.035866
0 33 2922.270448
0 34 3009.553541
0 35 3096.730056
0 36 3183.960231
0 37 3271.115926
0 38 3358.328846
0 39 3445.483611
0 40 3532.615922
0 41 3619.672084
0 42 3706.637548
0 43 3793.568279
0 44 3880.414922
0 45 3967.261794
0 46 4054.003527
0 47 4140.722536
0 48 4227.336910
0 49 4313.933623
0 50 4400.483594
0 51 4487.041101
0 52 4573.611631
0 53 4660.194604
0 54 4746.830966
0 55 4833.493434
0 56 4920.259782
0 57 5007.090495
0 58 5094.061945
0 59 5181.122592
0 60 5268.321660
0 61 5355.619677
0 62 5443.035439
1 -1 207.815425
1 1 284.347279
1 2 363.833206
1 3 385.939767
1 4 468.911928
1 5 557.837101
1 6 645.166855
1 7 732.910619
1 8 820.951230
1 9 908.411059
1 10 994.500198
1 11 1077.492319
1 12 1159.850890
1 13 1243.344542
1 14 1328.922623
1 15 1414.321357
1 16 1499.029939
1 17 1582.853380
1 18 1667.540643
1 19 1753.198107
1 20 1839.831719
1 21 1926.564022
1 22 2013.207320
1 23 2099.628431
1 24 2185.989009
1 25 2272.570579
1 26 2359.333610
1 27 2446.384332
1 28 2533.324127
1 29 2620.183791
1 30 2706.551848
1 31 2791.652048
1 32 2877.368926
1 33 2964.974089
1 34 3052.518894
1 35 3140.052446
1 36 3227.583692
1 37 3315.086690
1 38 3402.624546
1 39 3490.071232
1 40 3577.506528
1 41 3664.793316
1 42 3752.045742
1 43 3839.184130
1 44 3926.289035
1 45 4013.301505
1 46 4100.226829
1 47 4187.065252
1 48 4273.795325
1 49 4360.486595
1 50 4447.098377
1 51 4533.720725
1 52 4620.289850
1 53 4706.886231
1 54 4793.462000
1 55 4880.087728
1 56 4966.752551
1 57 5053.490603
1 58 5140.314852
1 59 5227.211393
1 60 5314.214311
1 61 5401.277984
1 62 5488.451758
2 -3 201.176203
2 -2 233.281843
2 -1 272.630963
2 0 321.808833
2 1 350.642594
2 2 422.918792
2 3 509.546554
2 4 578.653538
2 5 598.662618
2 6 685.543425
2 7 774.047818
2 8 861.835141
2 9 949.219837
2 10 1033.760877
2 11 1116.256610
2 12 1198.877596
2 13 1283.550039
2 14 1369.226398
2 15 1454.349878
2 16 1538.535040
2 17 1622.593251
2 18 1707.803540
2 19 1793.955507
2 20 1880.809813
2 21 1967.484793
2 22 2054.124505
2 23 2140.458970
2 24 2227.002515
2 25 2313.656325
2 26 2400.643829
2 27 2487.676232
2 28 2574.631444
2 29 2661.317364
2 30 2747.371303
2 31 2831.486213
2 32 2919.043357
2 33 3006.658551
2 34 3094.164955
2 35 3181.724077
2 36 3269.206909
2 37 3356.740428
2 38 3444.212358
2 39 3531.650869
2 40 3619.004475
2 41 3706.252814
2 42 3793.452611
2 43 3880.551686
2 44 3967.633462
2 45 4054.590821
2 46 4141.505405
2 47 4228.293807
2 48 4315.043934
2 49 4401.724399
2 50 4488.391795
2 51 4575.048410
2 52 4661.696737
2 53 4748.375028
2 54 4835.058854
2 55 4921.824544
2 56 5008.633923
2 57 5095.563534
2 58 5182.561654
2 59 5269.679303
2 60 5356.875952
2 61 5444.173069
3 -4 215.293485
3 -3 249.293645
3 -2 272.063989
3 -1 313.224389
3 0 361.989382
3 1 390.679238
3 2 451.272779
3 3 541.175286
3 4 630.052835
3 5 695.350776
3 6 718.442180
3 7 807.331973
3 8 895.358736
3 9 982.328738
3 10 1065.971044
3 11 1148.610627
3 12 1232.068342
3 13 1317.743370
3 14 1403.447231
3 15 1488.490348
3 16 1572.554273
3 17 1657.297471
3 18 1743.067768
3 19 1829.833235
3 20 1916.831639
3 21 2003.706733
3 22 2090.409152
3 23 2176.979979
3 24 2263.796422
3 25 2350.762801
3 26 2438.051203
3 27 2525.235141
3 28 2612.350952
3 29 2698.998563
3 30 2784.587285
3 31 2870.128755
3 32 2957.943161
3 33 3045.710800
3 34 3133.442446
3 35 3221.180551
3 36 3308.870278
3 37 3396.599680
3 38 3484.227632
3 39 3571.842246
3 40 3659.304079
3 41 3746.721094
3 42 3834.024298
3 43 3921.282474
3 44 4008.453543
3 45 4095.527416
3 46 4182.518946
3 47 4269.393927
3 48 4356.232332
3 49 4442.987332
3 50 4529.753754
3 51 4616.468075
3 52 4703.209332
3 53 4789.934241
3 54 4876.707818
3 55 4963.526365
3 56 5050.417702
3 57 5137.401908
3 58 5224.459462
3 59 5311.628623
3 60 5398.860153
3 61 5486.204243
