# GYRE 8.1 JCD GL6 w_osc=25 w_ctr=20 n_freq=2000 100-4500uHz ; MODE-A 1.5Msun midMS
l n_pg freq_uHz
0 1 249.788875
0 2 322.382769
0 3 392.546570
0 4 463.708769
0 5 540.069715
0 6 620.485159
0 7 701.573389
0 8 782.479605
0 9 863.980414
0 10 947.131510
0 11 1031.969305
0 12 1118.189736
0 13 1205.488893
0 14 1293.534423
0 15 1382.017142
0 16 1470.628801
0 17 1559.193939
0 18 1647.574234
0 19 1735.724486
0 20 1823.676582
0 21 1911.526157
0 22 1999.439825
0 23 2087.569870
0 24 2176.034603
0 25 2264.859868
0 26 2354.032228
0 27 2443.488175
0 28 2533.157929
0 29 2622.934869
0 30 2712.699546
0 31 2802.299770
0 32 2891.421739
0 33 2978.902072
0 34 3068.651151
0 35 3158.252169
0 36 3247.705758
0 37 3337.013692
0 38 3426.192242
0 39 3515.263721
0 40 3604.247166
0 41 3693.167876
0 42 3782.040558
0 43 3870.866399
0 44 3959.645121
0 45 4048.372773
0 46 4137.038338
0 47 4225.631699
0 48 4314.145056
0 49 4402.572206
0 50 4490.920832
1 -2 127.073195
1 -1 168.606197
1 1 256.088814
1 2 334.781633
1 3 415.452553
1 4 496.543762
1 5 578.419244
1 6 660.449787
1 7 741.567338
1 8 822.309485
1 9 904.150589
1 10 987.720011
1 11 1072.879337
1 12 1159.311962
1 13 1246.735066
1 14 1334.802805
1 15 1423.226219
1 16 1511.726745
1 17 1600.131209
1 18 1688.368414
1 19 1776.412112
1 20 1864.310806
1 21 1952.192474
1 22 2040.233182
1 23 2128.572626
1 24 2217.275454
1 25 2306.344121
1 26 2395.737404
1 27 2485.395595
1 28 2575.221493
1 29 2665.100398
1 30 2754.901174
1 31 2844.427659
1 32 2932.997702
1 33 3021.405195
1 34 3111.152939
1 35 3200.742591
1 36 3290.173995
1 37 3379.453927
1 38 3468.605225
1 39 3557.647533
1 40 3646.603423
1 41 3735.496148
1 42 3824.332513
1 43 3913.112940
1 44 4001.836652
1 45 4090.497486
1 46 4179.084149
1 47 4267.590491
1 48 4356.008903
1 49 4444.341436
2 -5 103.741789
2 -4 125.352860
2 -3 155.769978
2 -2 192.851851
2 -1 230.702946
2 0 265.592689
2 1 319.906289
2 2 376.814587
2 3 450.088359
2 4 530.265261
2 5 612.682297
2 6 694.654874
2 7 775.807165
2 8 857.126432
2 9 939.890180
2 10 1024.280971
2 11 1110.064865
2 12 1196.964370
2 13 1284.676894
2 14 1372.895752
2 15 1461.322246
2 16 1549.766286
2 17 1638.071875
2 18 1726.189977
2 19 1814.139946
2 20 1902.002551
2 21 1989.933507
2 22 2078.088182
2 23 2166.591421
2 24 2255.472327
2 25 2344.718453
2 26 2434.265461
2 27 2524.046428
2 28 2613.953213
2 29 2703.864971
2 30 2793.632404
2 31 2882.971072
2 32 2970.482975
2 33 3060.387671
2 34 3150.140745
2 35 3239.741238
2 36 3329.189356
2 37 3418.499019
2 38 3507.692622
2 39 3596.788709
2 40 3685.812317
2 41 3774.779663
2 42 3863.692427
2 43 3952.550449
2 44 4041.350342
2 45 4130.081823
2 46 4218.734571
2 47 4307.301473
2 48 4395.776045
2 49 4484.165736
3 -7 105.209639
3 -6 120.546027
3 -5 140.640429
3 -4 167.523996
3 -3 202.230790
3 -2 232.095005
3 -1 253.396089
3 0 296.680221
3 1 333.215062
3 2 400.197295
3 3 478.427570
3 4 560.011335
3 5 642.807162
3 6 724.673296
3 7 805.860775
3 8 887.784885
3 9 971.337652
3 10 1056.459918
3 11 1142.856279
3 12 1230.262674
3 13 1318.347607
3 14 1406.829599
3 15 1495.413270
3 16 1583.936712
3 17 1672.304406
3 18 1760.476738
3 19 1848.496403
3 20 1936.479873
3 21 2024.603389
3 22 2113.008437
3 23 2201.780319
3 24 2290.928516
3 25 2380.422294
3 26 2470.197342
3 27 2560.163534
3 28 2650.207068
3 29 2740.199526
3 30 2829.961131
3 31 2918.994080
3 32 3007.197606
3 33 3097.146559
3 34 3186.938515
3 35 3276.573431
3 36 3366.055778
3 37 3455.406756
3 38 3544.646556
3 39 3633.796247
3 40 3722.880197
3 41 3811.907184
3 42 3900.877431
3 43 3989.790291
3 44 4078.640174
3 45 4167.415328
3 46 4256.108526
3 47 4344.711756
3 48 4433.224522
