mass_Msun,stage,Dnu_uHz,dnu02_uHz,n_pairs,regime,n_l0,n_l1,n_l2,n_l3
1.0,zams,157.644,16.459,32,clean_pmode,33,33,34,35
1.0,Xc0.60,151.639,14.598,34,clean_pmode,35,34,36,36
1.0,midMS,144.575,12.603,35,clean_pmode,36,37,38,39
1.0,Xc0.40,137.733,10.842,37,clean_pmode,38,39,41,43
1.0,Xc0.30,130.297,8.658,40,clean_pmode,41,42,45,46
1.0,Xc0.20,122.438,7.028,42,clean_pmode,43,45,48,51
1.0,Xc0.10,114.301,5.192,46,clean_pmode,47,49,53,55
1.0,TAMS,104.727,3.332,50,mixed_contaminated,51,55,59,63
1.2,zams,120.727,12.934,43,clean_pmode,44,44,45,46
1.2,Xc0.60,116.992,11.893,45,clean_pmode,46,45,47,47
1.2,midMS,110.379,10.284,47,clean_pmode,48,48,51,51
1.2,Xc0.40,104.802,8.603,50,clean_pmode,51,52,54,55
1.2,Xc0.30,98.959,7.433,53,clean_pmode,54,55,57,59
1.2,Xc0.20,86.647,3.658,61,mixed_contaminated,61,63,65,66
1.2,Xc0.10,80.546,1.251,66,mixed_contaminated,66,67,69,70
1.2,TAMS,77.049,1.516,69,mixed_contaminated,69,70,74,75
1.5,zams,94.136,10.238,56,clean_pmode,57,57,58,59
1.5,Xc0.50,80.130,6.146,67,clean_pmode,68,68,70,70
1.5,midMS,88.513,8.920,49,clean_pmode,50,51,55,56
1.5,Xc0.40,71.166,3.784,75,clean_pmode,75,77,77,78
1.5,Xc0.30,63.445,1.899,85,clean_pmode,85,85,87,87
1.5,Xc0.20,56.955,0.346,77,mixed_contaminated,78,80,84,85
2.0,zams,90.563,10.666,47,clean_pmode,48,49,51,53
2.0,Xc0.60,73.623,6.594,59,clean_pmode,60,61,63,64
2.0,midMS,85.295,9.319,50,clean_pmode,51,52,54,56
2.0,Xc0.40,64.404,4.770,68,clean_pmode,69,70,72,73
2.0,Xc0.30,55.946,3.052,78,clean_pmode,79,81,83,85
2.0,Xc0.20,48.263,1.615,91,mixed_contaminated,92,93,96,98
