                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.6.1"                                 "CRMATH"                               "20260609"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      666                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999576399967E-001                  2.2865889092655172E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999576399967E-001                  2.2865889092655172E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6848627860287060E+000                  2.0660328092506421E-007                 -6.6848627860287069E+000                 -9.8999999999999986E+001                 -2.2577249674798587E+001                 -6.6848627860287060E+000                  2.0660328092506421E-007                 -6.6848627860287460E+000                 -1.9724516374020162E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6976629174300601E+000                  1.1218134312859658E+000                  6.8823404164735913E-001                  3.3626295396723958E+000                  0.0000000000000000E+000                  1.3813676081995601E+001                 -8.1547981250347590E-001                  6.4965895850647630E+000                  6.1297506155044712E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999991E-001                  2.6947131977607081E-001                  2.3838810482634597E-003                  6.5489967737205734E-003                  2.3838810482634575E-003                  6.5489967737205699E-003                  1.4330000000000003E+000                  5.3894263955214183E-001                                        0                                        4 
                                       5                                      662                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999685774976E-001                  2.3756272366508107E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999685774976E-001                  2.3756272366508107E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6848209493929609E+000                  2.0662318447647977E-007                 -6.6848209493929609E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6848209493929609E+000                  2.0662318447647977E-007                 -6.6848209493930142E+000                 -1.9594643074382084E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6996248903129159E+000                  1.1296805815928748E+000                  6.8824367103510287E-001                  3.3626102808969085E+000                  0.0000000000000000E+000                  1.3813676082110740E+001                 -8.1547981241119949E-001                  6.4965895850877393E+000                  6.1297506155044057E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999991E-001                  2.6947131977607081E-001                  2.3838810482634597E-003                  6.5489967737205734E-003                  2.3838810482634592E-003                  6.5489967737205734E-003                  1.4330000000000003E+000                  5.3894263955214183E-001                                        0                                        2 
                                      10                                      662                  2.5958682111999997E-004                 -4.2873687855713758E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.3610332703040787E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.3610332703040787E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6847007827149252E+000                  2.0668036378242004E-007                 -6.6847007827149252E+000                 -9.8999999999999986E+001                 -2.2276219679134606E+001                 -6.6847007827149252E+000                  2.0668036378242004E-007                 -6.6847007827149811E+000                 -1.9574277224230812E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7002932935559625E+000                  1.1323624067658440E+000                  6.8824777713549357E-001                  3.3626020686961269E+000                  0.0000000000000000E+000                  1.3813676082506461E+001                 -8.1547981210695664E-001                  6.4965895851793256E+000                  6.1297506155040937E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999991E-001                  2.6947131977607081E-001                  2.3838810482634597E-003                  6.5489967737205734E-003                  2.3838810482634592E-003                  6.5489967737205734E-003                  1.4330000000000003E+000                  5.3894263955214183E-001                                        0                                        2 
                                      15                                      662                  7.2035107872931814E-004                 -3.8914625553332525E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.3370570838773995E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.3370570838773995E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6844023973349689E+000                  2.0682241391628558E-007                 -6.6844023973349689E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6844023973349689E+000                  2.0682241391628558E-007                 -6.6844023973350248E+000                 -1.9573983218230858E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7004656044027504E+000                  1.1330552689904407E+000                  6.8824958655421609E-001                  3.3625984498586821E+000                  0.0000000000000000E+000                  1.3813676083510146E+001                 -8.1547981133846681E-001                  6.4965895854147249E+000                  6.1297506155032888E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999991E-001                  2.6947131977607081E-001                  2.3838810482634597E-003                  6.5489967737205734E-003                  2.3838810482634592E-003                  6.5489967737205734E-003                  1.4330000000000003E+000                  5.3894263955214183E-001                                        0                                        2 
                                      20                                      662                  1.8668799962237366E-003                 -3.4955563250951283E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.3103179912181165E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.3103179912181165E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6836637769399667E+000                  2.0717446359251904E-007                 -6.6836637769399667E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6836637769399667E+000                  2.0717446359251904E-007                 -6.6836637769400227E+000                 -1.9573982994365892E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7005126779853330E+000                  1.1332451942010544E+000                  6.8825040199435883E-001                  3.3625968189783966E+000                  0.0000000000000000E+000                  1.3813676086005389E+001                 -8.1547980942758735E-001                  6.4965895859996019E+000                  6.1297506155012915E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999991E-001                  2.6947131977607081E-001                  2.3838810482634597E-003                  6.5489967737205734E-003                  2.3838810482634592E-003                  6.5489967737205734E-003                  1.4330000000000003E+000                  5.3894263955214183E-001                                        0                                        2 
                                      25                                      662                  4.7198108322034473E-003                 -3.0996500948570040E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.2941241996342586E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.2941241996342586E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6818492446807944E+000                  2.0804187311862825E-007                 -6.6818492446807944E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6818492446807944E+000                  2.0804187311862825E-007                 -6.6818492446808504E+000                 -1.9573982943123383E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7005238947636170E+000                  1.1332907379756578E+000                  6.8825074032509248E-001                  3.3625961423169293E+000                  0.0000000000000000E+000                  1.3813676092187338E+001                 -8.1547980468899495E-001                  6.4965895874443316E+000                  6.1297506154963655E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999991E-001                  2.6947131977607081E-001                  2.3838810482634597E-003                  6.5489967737205734E-003                  2.3838810482634592E-003                  6.5489967737205734E-003                  1.4330000000000003E+000                  5.3894263955214183E-001                                        0                                        2 
                                      30                                      662                  1.1818815689988481E-002                 -2.7037438646188803E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.2884076226598573E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.2884076226598573E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6774717449225127E+000                  2.1014944872426632E-007                 -6.6774717449225136E+000                 -9.8999999999999986E+001                 -2.2577249674798587E+001                 -6.6774717449225127E+000                  2.1014944872426632E-007                 -6.6774717449225687E+000                 -1.9573982816271240E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7005261334134150E+000                  1.1332999538799944E+000                  6.8825087097766435E-001                  3.3625958810117855E+000                  0.0000000000000000E+000                  1.3813676107521360E+001                 -8.1547979292718986E-001                  6.4965895910201255E+000                  6.1297506154842052E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999991E-001                  2.6947131977607081E-001                  2.3838810482634597E-003                  6.5489967737205734E-003                  2.3838810482634592E-003                  6.5489967737205734E-003                  1.4330000000000003E+000                  5.3894263955214183E-001                                        0                                        2 
                                      35                                      662                  2.9483411457712130E-002                 -2.3078376343807561E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.2870757483062821E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.2870757483062821E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6673386288849583E+000                  2.1511038180657193E-007                 -6.6673386288849583E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6673386288849583E+000                  2.1511038180657193E-007                 -6.6673386288850125E+000                 -1.9573982501839982E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7005265529227946E+000                  1.1333017277368300E+000                  6.8825091888732282E-001                  3.3625957851924682E+000                  0.0000000000000000E+000                  1.3813676145585291E+001                 -8.1547976371549669E-001                  6.4965895998815650E+000                  6.1297506154541115E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999991E-001                  2.6947131977607081E-001                  2.3838810482634597E-003                  6.5489967737205734E-003                  2.3838810482634592E-003                  6.5489967737205734E-003                  1.4330000000000003E+000                  5.3894263955214183E-001                                        0                                        2 
                                      40                                      662                  7.3438578398454232E-002                 -1.9119314041426323E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.2867753042163572E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  2.2867753042163572E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6458178231419129E+000                  2.2603837519959163E-007                 -6.6458178231419129E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.6458178231419129E+000                  2.2603837519959163E-007                 -6.6458178231419645E+000                 -1.9573981722170529E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7005266447754304E+000                  1.1333021043751093E+000                  6.8825092350119166E-001                  3.3625957759647309E+000                  0.0000000000000000E+000                  1.3813676240092759E+001                 -8.1547969115264485E-001                  6.4965896218497639E+000                  6.1297506153796077E-001                  8.5824770319108312E-001                  1.2743228965333044E+000                  7.1649999999999991E-001                  2.6947131977607081E-001                  2.3838810482634597E-003                  6.5489967737205734E-003                  2.3838810482634592E-003                  6.5489967737205734E-003                  1.4330000000000003E+000                  5.3894263955214183E-001                                        0                                        2 
